node_id,latitude,longitude,junction_type,source
191792898,6.8938115,79.8554037,AA-Other,AA
127659606,6.9585517,80.2218847,AA-Other,AA
191856851,6.9647141,80.2637958,AA-Other,AA
3095525776,6.952377,80.2133809,AA-Other,AA
127660871,6.8786673,79.874506,AA-Other,AA
2247695861,6.8783042,79.8763489,AA-Other,AA
127660889,6.8774949,79.8794661,AA-Other,AA
10771363400,6.8739667,79.8818279,AA-Other,AA
129605583,6.7202283,80.0557965,AA-Other,AA
1212770520,6.7260983,80.0339689,AA-Other,AA
256663997,6.7181274,80.0586808,AA-Other,AA
129607626,6.8547965,80.089391,AA-Other,AA
1723172770,6.8584748,80.0911024,AA-Other,AA
1697583102,6.854361,80.0890505,AA-Other,AA
129610044,6.9031389,80.0874472,AA-Other,AA
1150403364,6.9113232,80.0936701,AA-Other,AA
1697437102,6.8590882,80.0913736,AA-Other,AA
129615686,6.841196,80.0031135,AA-Other,AA
2068162856,6.837921,79.9851096,AA-Other,AA
1430578050,6.8446381,80.0154729,AA-Other,AA
129615826,6.844796,79.9308921,AA-Other,AA
635164975,6.8464254,79.9483796,AA-Other,AA
642867474,6.8449619,79.9302846,AA-Other,AA
129615869,6.8518943,79.9197365,AA-Other,AA
619918508,6.8490001,79.9244796,AA-Other,AA
619956323,6.8577543,79.9085127,AA-Other,AA
129615924,6.8629794,79.9014385,AA-Other,AA
9959089698,6.8650231,79.8967741,AA-Other,AA
2071116345,6.85787,79.908414,AA-Other,AA
129615942,6.8651204,79.8965721,AA-Other,AA
651260245,6.8652355,79.8962922,AA-Other,AA
130019052,6.92097,79.8465687,AA-Other,AA
4515020714,6.9187701,79.847264,AA-Other,AA
130445177,6.2409186,80.0535808,AA-Other,AA
130445309,6.2388731,80.0541276,AA-Other,AA
130445589,6.2295327,80.0542727,AA-Other,AA
248048875,6.1833893,80.0721228,AA-Other,AA
130462216,5.9462667,80.5302423,AA-Other,AA
138713219,6.0324076,80.2171736,AA-Other,AA
5234940056,6.0325121,80.2168001,AA-Other,AA
666903979,6.8954287,79.8548763,AA-Other,AA
191794735,6.9211057,79.8464009,AA-Other,AA
7081602427,6.9236332,79.8454887,AA-Other,AA
191799826,6.9120162,79.8520162,AA-Other,AA
6272039662,6.9120599,79.8516567,AA-Other,AA
191816795,6.9060062,79.8589998,AA-Other,AA
269351942,6.9090918,79.8574538,AA-Other,AA
8169922827,6.9711526,80.2652565,AA-Other,AA
198601066,7.0239703,80.2612652,AA-Other,AA
3217150026,7.0237133,80.2614716,AA-Other,AA
5153458214,7.0457549,80.2538268,AA-Other,AA
198851718,6.1404895,80.0997402,AA-Other,AA
3090460083,6.1113054,80.1244071,AA-Other,AA
206594633,6.8785914,79.8727315,AA-Other,AA
206596162,7.0477458,79.8970466,AA-Other,AA
1475773455,7.051814,79.8966001,AA-Other,AA
206597309,7.1311694,79.8761885,AA-Other,AA
3805872958,7.1396393,79.8747157,AA-Other,AA
245519497,6.7169911,80.0615299,AA-Other,AA
1446610199,6.7169328,80.0617551,AA-Other,AA
245519498,6.7168237,80.0629621,AA-Other,AA
253718899,6.7174484,80.066074,AA-Other,AA
247139123,6.9588093,80.5220169,AA-Other,AA
247139339,6.9312111,80.5514288,AA-Other,AA
1190507161,6.9630227,80.5180391,AA-Other,AA
5252242488,6.8980344,80.5925313,AA-Other,AA
247140202,6.9475294,80.6300085,AA-Other,AA
4108748760,6.9252292,80.608955,AA-Other,AA
4507913122,6.9395831,80.6602918,AA-Other,AA
247140495,6.930383,80.7179219,AA-Other,AA
247140995,6.9374771,80.7383723,AA-Other,AA
3517327762,6.9271151,80.6869586,AA-Other,AA
247141016,6.9409386,80.74424,AA-Other,AA
3390658487,6.949311,80.7737674,AA-Other,AA
10682149773,6.9115582,79.8669677,AA-Other,AA
3279650333,5.964547,80.6917814,AA-Other,AA
2155946168,5.9468547,80.5566443,AA-Other,AA
250731003,6.9094649,79.8968741,AA-Other,AA
13399644563,6.9086601,79.8984321,AA-Other,AA
2434214580,6.0376155,80.3044717,AA-Other,AA
253022446,6.9438447,79.8782935,AA-Other,AA
4422642586,6.9434315,79.8783189,AA-Other,AA
324997824,6.9556012,79.8828973,AA-Other,AA
253022458,6.950953,79.8790303,AA-Other,AA
1431441535,6.9499888,79.8786057,AA-Other,AA
253022461,6.9555584,79.883004,AA-Other,AA
1796922853,6.7438968,80.1763478,AA-Other,AA
5693657962,7.2930331,80.6377489,AA-AA,AA
258025225,8.0320952,80.7725835,AA-Other,AA
3213759120,8.0638324,80.8984001,AA-Other,AA
258025517,7.8578859,80.652269,AA-Other,AA
1651774036,7.8604196,80.6522003,AA-Other,AA
258049598,7.7072532,80.6535865,AA-Other,AA
258029159,7.2603615,80.5926773,AA-Other,AA
258029175,7.2641917,80.5939602,AA-Other,AA
2078331482,7.2578358,80.5906623,AA-Other,AA
3033937981,7.2661312,80.5960944,AA-Other,AA
258030081,6.8737331,79.8819058,AA-Other,AA
10771363401,6.8739457,79.8817654,AA-Other,AA
4582456531,6.870435,79.8870239,AA-Other,AA
258049265,7.4092254,80.609506,AA-Other,AA
258049267,7.4101533,80.6094921,AA-Other,AA
3616502607,7.35703,80.6175063,AA-Other,AA
1727358941,7.4239591,80.6106067,AA-Other,AA
258049379,7.4657422,80.6237756,AA-Other,AA
3662474367,7.4659159,80.6234324,AA-Other,AA
3620006922,7.4493948,80.6310127,AA-Other,AA
2083007820,7.4662148,80.6232927,AA-Other,AA
1980552001,7.4809229,80.6234027,AA-Other,AA
258049453,7.5307154,80.6258655,AA-Other,AA
