junction_id,latitude,longitude,reachable_nodes,average_distance,maximum_distance
5007247077,6.922693,79.91321,4117,121754.3,386386.08
4056840093,6.908824,79.898676,4117,121371.71,386198.06
403875119,6.908644,79.898767,4117,121376.65,386218.69
403881228,7.221916,79.863565,4117,126491.08,350290.47
403881262,7.235844,79.878896,4117,126807.95,351115.44
4316825579,7.223838,79.879715,4117,126428.86,352177.1
403881289,7.248063,79.899349,4117,126532.88,348383.15
403881294,7.250807,79.905405,4117,126384.4,349121.45
403881317,7.260851,79.939365,4117,127405.58,350961.62
617812791,7.230694,79.908774,4117,125174.01,351627.15
1261568353,7.286245,79.985578,4117,125253.32,357305.57
6537339896,6.994605,79.874367,4117,122200.45,376197.82
403899801,6.982958,79.875263,4117,121652.33,377309.33
6537358006,6.982853,79.874698,4117,121654.71,377373.01
403899823,7.027495,79.865662,4117,123586.14,372367.59
403899962,7.047112,79.861976,4117,123553.78,370189.33
2142265829,7.014218,79.867595,4117,123219.69,373851.42
403899879,7.06916,79.8532,4117,123682.48,367193.91
1980566521,7.139472,80.234568,4117,121583.08,376706.55
445260245,7.073259,80.269521,4117,120787.7,385277.51
3927772231,7.072982,80.2693,4117,120777.22,385316.75
2015279496,7.123982,80.287672,4117,122249.48,378777.66
3210113789,6.591443,80.085634,4117,140175.14,435934.28
445265578,6.591696,80.085173,4117,140240.85,436006.9
560221970,6.568706,79.98922,4117,143578.52,429545.66
445270465,6.590705,80.085874,4117,140228.74,436020.19
6294540739,6.523262,80.114475,4117,144121.55,445169.3
560221118,6.542092,80.157664,4117,144659.31,451126.13
6294406153,6.542342,80.157374,4117,144654.42,451083.87
1994843650,6.526588,80.170285,4117,145795.85,453412.04
560221199,6.524767,80.213602,4117,148650.81,458801.58
1994725664,6.532769,80.348522,4117,148885.89,463339.72
3369556773,6.607366,80.236229,4117,142862.65,449027.4
560221964,6.559587,79.977533,4117,142791.9,428315.18
600669265,6.561404,79.981133,4117,142764.06,428318.0
2280537322,6.561267,79.969421,4117,142166.2,427390.56
4059337439,6.565444,79.999682,4117,144424.46,430815.8
562824877,7.481975,80.360607,4117,126695.44,329530.67
9562328833,7.481946,80.360728,4117,126698.42,329516.94
6548196298,7.484186,80.355016,4117,127146.23,329772.89
566569273,7.980098,80.530737,4117,166019.62,324321.31
4158784481,7.995976,80.537789,4117,167279.49,326390.39
3522137041,7.902665,80.523386,4117,160267.79,314883.71
