node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
639142096,7.204598,79.880763,3,2,B321;B597,B-B,True,True
4316825579,7.223838,79.879715,2,2,B324;B597,B-B,True,False
12322046179,7.175263,79.88966,3,1,B208,B-Other,False,True
4693290694,7.266227,79.860435,4,1,B228,B-Other,False,True
639247310,7.231581,79.971329,2,2,B108;B324,B-B,True,False
6509381798,7.224845,80.019516,3,1,B111,B-Other,False,True
617810744,7.281259,80.055351,3,2,B111;B322,B-B,True,True
639288676,7.153503,80.060217,3,2,B179;B445,B-B,True,True
403875119,6.908644,79.898767,3,1,B62,B-Other,False,True
1418747701,6.727569,79.900473,3,1,B235,B-Other,False,True
651747031,6.771567,79.885428,3,1,B235,B-Other,False,True
651746985,6.727049,79.900678,3,1,B235,B-Other,False,True
665006631,6.803942,79.940621,2,2,B267;B510,B-B,True,False
1912538608,6.923587,79.912996,3,1,B231,B-Other,False,True
2091855950,6.932625,79.893695,3,1,B231,B-Other,False,True
7786924226,7.126059,80.070689,4,1,B416,B-Other,False,True
3816584562,7.073426,80.016941,3,1,B292,B-Other,False,True
667506531,7.057741,80.097076,2,2,B292;B479,B-B,True,False
635166180,6.909619,79.89707,3,1,B62,B-Other,False,True
403875117,6.909304,79.898421,3,2,B469;B62,B-B,True,True
638916931,7.156555,80.055225,2,2,B208;B443,B-B,True,False
3203260988,7.207614,80.057048,4,2,B183;B443,B-B,True,True
1668906517,6.875954,79.929227,3,1,B368,B-Other,False,True
208541289,6.857138,79.890753,3,1,B84,B-Other,False,True
652384088,6.787907,79.88545,3,1,B295,B-Other,False,True
694987695,6.795094,79.903987,3,2,B204;B295,B-B,True,True
403816197,6.935938,79.925652,3,2,B435;B644,B-B,True,True
13653585411,6.942792,79.923561,3,1,B644,B-Other,False,True
5122515798,6.943059,79.923575,3,1,B644,B-Other,False,True
4897028998,6.976569,80.764515,3,2,B249;B331,B-B,True,True
891638940,7.161906,80.573909,3,1,B154,B-Other,False,True
3021911951,7.298432,80.637016,3,1,B520,B-Other,False,True
5233976058,6.530863,80.396533,3,1,B181,B-Other,False,True
912275456,6.227029,81.334127,2,2,B422;B499,B-B,True,False
5233980319,6.531088,80.396444,2,2,B181;B421,B-B,True,False
5237375206,6.53116,80.396517,2,2,B181;B421,B-B,True,False
1994725664,6.532769,80.348522,2,2,B421;B656,B-B,True,False
2087105380,6.971365,79.97682,2,2,B401;B632,B-B,True,False
1668906598,6.903263,79.91135,3,1,B240,B-Other,False,True
1039412973,6.903319,79.910703,4,1,B240,B-Other,False,True
1093699503,6.134737,80.254426,4,3,B248;B454;B455,B-B,True,True
1093762656,6.102343,80.31839,2,2,B129;B455,B-B,True,False
6543091755,6.10667,80.33517,3,1,B238,B-Other,False,True
3492736839,6.106432,80.348319,3,2,B238;B480,B-B,True,True
910154883,6.8464,79.948503,4,1,B47,B-Other,False,True
403816162,6.942458,79.886801,3,1,B435,B-Other,False,True
403816157,6.944703,79.881859,3,1,B435,B-Other,False,True
634162376,7.154156,80.05939,2,2,B208;B445,B-B,True,False
638943128,7.158411,80.031546,2,2,B208;B430,B-B,True,False
