u,v,matched_ref,route_no,road_name,highway,oneway,maxspeed,lanes,name,segment_length_m
2155827812,2017427174,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,50,2,Urubokka-Kotapola Road,16696.084623541374
2155946168,970058024,B338,B338,"Old Tangalle Road, Matara","['primary', 'primary_link']",False,"['30', '40']",2,Old Tangalle Road,882.6575795817104
2157074329,2607351567,B630,B630,Beliatta - Kirinda,primary,False,60,2,Beliatte-Kirinda Road,1410.6840421376362
2157074329,1932027734,B630,B630,Beliatta - Kirinda,primary,False,60,2,Beliatte-Kirinda Road,2853.0434239899964
2157080287,1530689260,B595,B595,Hunnadeniya Rathmale Radampola Walasgala,primary,False,60,2,Walasgala Road,2673.1759218100374
2157080287,2157080312,B595,B595,Hunnadeniya Rathmale Radampola Walasgala,primary,False,60,2,Walasgala Road,1745.756010887841
2157080312,2157080287,B595,B595,Hunnadeniya Rathmale Radampola Walasgala,primary,False,60,2,Walasgala Road,1745.7560108878415
2157080312,13380401257,B595,B595,Hunnadeniya Rathmale Radampola Walasgala,primary,True,40,1,Walasgala Road,27.08454992299344
2164965693,2164965800,B636,B636,Akuressa By pass,primary,False,50,2,Akuressa Bypass Road,1341.1006056122799
2164965800,2164965693,B636,B636,Akuressa By pass,primary,False,50,2,Akuressa Bypass Road,1341.1006056122799
2164965800,2164965848,B636,B636,Akuressa By pass,primary,False,50,2,Akuressa Bypass Road,134.1201000319086
2164965848,3492736839,B4,B004,Akuressa - Ketanwila,primary,False,70,2,"['Akuressa-Ketanwila Road', 'Yakkalamulla-Ketanwila Road']",19224.04121406369
2164965848,2190965800,B4,B004,Akuressa - Ketanwila,primary,False,70,2,Akuressa-Ketanwila Road,172.3106166911926
2164965848,2164965800,B636,B636,Akuressa By pass,primary,False,50,2,Akuressa Bypass Road,134.1201000319086
2164965848,3445493696,B636,B636,Akuressa By pass,primary,False,50,2,Akuressa Bypass Road,268.2911473740893
2165097325,1529199964,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,60,2,Matara-Kamburupitiya Road,3441.2860895896947
2165097325,2165105694,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,60,2,Matara-Kamburupitiya Road,2389.6983768642385
2165105694,2165097325,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,60,2,Matara-Kamburupitiya Road,2389.698376864239
2165105694,4987786794,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,60,2,Matara-Kamburupitiya Road,2595.409892154982
2165127439,2017536532,B536,B536,Kamburupitiya - Kirinda,primary,False,60,2,Kamburupitiya-Kirinda Road,812.5293522084106
2165127439,1933520777,B536,B536,Kamburupitiya - Kirinda,primary,False,60,2,Kamburupitiya-Kirinda Road,1349.1182767067633
2165130846,2078784989,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,60,2,Matara-Kamburupitiya Road,200.54410513554592
2165130846,2166737050,B3,B003,Akuressa - Kamburupitiya,primary,False,70,2,Akuressa-Kamburupitiya Road,12483.321284925054
2165130846,4987786790,B415,B415,Thihagoda - Kamburupitiya - Mawarala - Kotapola,primary,False,60,2,Matara-Kamburupitiya Road,845.6369884422238
2166737050,2190965493,B3,B003,Akuressa - Kamburupitiya,primary,False,70,2,Akuressa-Kamburupitiya Road,790.6677502935212
2166737050,2165130846,B3,B003,Akuressa - Kamburupitiya,primary,False,70,2,Akuressa-Kamburupitiya Road,12483.321284925049
2176728167,2176866777,B99,B099,Deniyaya - Viharahena,primary,False,50,2,Deniyaya-Viharahena Road,6492.70280727608
2176866777,4267522204,B99,B099,Deniyaya - Viharahena,primary,False,50,2,Deniyaya-Viharahena Road,1392.1593530107045
2176866777,2176728167,B99,B099,Deniyaya - Viharahena,primary,False,50,2,Deniyaya-Viharahena Road,6492.7028072760795
2185127828,2076672992,B14,B014,Ambalangoda - Elpitiya - Pitigala,primary,False,"['60', '50']",2,"['Ambalangoda-Elpitiya-Pitigala Road', 'Pelawatta-Pitigala Road']",8566.66351703053
2185127828,3210162496,B158,B158,Horawela - Pelawatte - Pitigala,primary,False,60,2,"['Horawela-Pelawatte Road', 'Pelawatta-Pitigala Road']",1546.6574556313121
2185127828,5258083976,B363,B363,Pelawatta - Kankotayawatta - Tinniyawela - Morawaka,primary,False,60,2,Pelawatta-Neluwa Road,29565.12903297216
2190932692,1093799558,B156,B156,Hiniduma - Opatha - Pitabeddera,primary,False,70,2,Hiniduma-Opatha-Pitabeddara Road,23805.454461419322
2190965493,2166737050,B3,B003,Akuressa - Kamburupitiya,primary,False,70,2,Akuressa-Kamburupitiya Road,790.6677502935211
2190965800,2164965848,B4,B004,Akuressa - Ketanwila,primary,False,70,2,Akuressa-Ketanwila Road,172.3106166911926
2199336301,3205666202,B308,B308,Narammala - Dankotuwa,primary,False,60,,Negombo-Kurunegala Road,11460.055738075322
2199336301,3432403050,B308,B308,Narammala - Dankotuwa,primary,True,60,2,Negombo-Kurunegala Road,68.26681075237656
2215855644,1093762656,B129,B129,Galle - Udugama,primary,False,50,,Udugama Road,5516.388151041892
2215855644,1093762481,B129,B129,Galle - Udugama,primary,False,50,,Udugama Road,1000.8545774885628
2215855644,2434214580,B578,B578,Dorape Hiyare,primary,False,50,2,Dorape-Hiyare Road,8272.29477534273
2278210726,7024993693,B488,B488,Polonnaruwa - Tambala - Sungawila - Somawathiya,secondary,False,50,,Somawathiya Road,37501.16358890191
2280537322,10130181954,B207,B207,Katukurunda - Neboda,primary,True,60,1,Katukurunda-Neboda Road,45.88167592067725
2280537322,560221964,B207,B207,Katukurunda - Neboda,primary,False,60,2,Katukurunda-Neboda Road,924.6155144434967
2280604896,3341955250,B481,B481,Yatadolawatta Road,primary,False,50,2,Yatadolawatta Road,2749.7044612902546
2280604896,1969450599,B304,B304,Nagoda - Kalawellawa - Bellapitiya,primary,False,60,2,Nagoda-Kalawellawa-Bellapitiya Road,176.3958972879486
2280604896,4059337439,B304,B304,Nagoda - Kalawellawa - Bellapitiya,primary,False,60,2,Nagoda-Kalawellawa-Bellapitiya Road,10233.553780729051
2285202897,4082665365,B287,B287,Minneriya - Hingurakgoda (Airport Road),primary,False,60,,Minneriya - Hingurakgoda Road,5739.4417434948045
2295729728,9427842410,B298,B298,"Munai Street, Batticaloa",primary,False,50,2,Munai Street,414.6102408458389
2295729729,9427992821,B250,B250,"Lake Road, No.1, Batticaloa",primary,False,50,2,Lake Road No. 1,915.5337860205095
