u,v,length_m,highway,name,oneway,ref
127658294,127658062,601.8424812217203,secondary,Wijerama Mawatha (McCarthy Road),False,
127658294,248608270,419.7904369353131,trunk,Horton Place,False,A0
127658294,4798976659,589.0864614214894,trunk,"['Dudley Senanayake Mawatha', 'Horton Place']",False,A0
127658312,191792898,393.49623176918766,trunk,Galle Road,True,A2
127658312,618309296,225.53706916567086,secondary,Vajira Road,True,
127658568,13673393247,495.5442119271524,secondary,5th Lane,False,
127658568,3822124809,216.96755993961432,secondary,5th Lane,True,
127658568,127658599,260.11494338724026,trunk,R. A. de Mel Mawatha,True,
127658599,635079773,220.3408833489349,secondary,Alfred Place,True,
127658599,9924565829,415.4927766219641,secondary,Alfred Place,False,
127658599,2015155899,711.7713532984639,trunk,R. A. de Mel Mawatha,True,
127659606,127659819,3722.6102649687905,primary,Talduwa-Meewitigammana Road,False,B408
127659606,191856851,5453.6356650867,trunk,Yatiyantota Road,False,A7
127659606,3095525776,1381.500348793711,trunk,"['Talduwa Bridge', 'Yatiyantota Road']",False,A7
127659819,3883403618,13441.819934335448,primary,"['Gurugalla Bridge', 'Talduwa-Meewitigammana Road']",False,B408
127659819,127659606,3722.610264968791,primary,Talduwa-Meewitigammana Road,False,B408
127659819,2021573972,11743.4059676258,primary,Magmmana-Kurupetta-Daigala-Gurugalla Road,False,B603
127660871,253022345,546.0626495556236,secondary,Kirulapone Avenue,False,
127660871,2247695861,207.61067836565033,trunk,H. Sri Nassanka Mawatha (High Level Road),True,A4
127660889,635164786,231.83596410237067,secondary,Poorwarama Mawatha,False,
127660889,10771363400,480.88447920840866,trunk,High Level Road,True,A4
129605583,129606431,7471.855755998716,primary,Horana - Padukka Road,False,B123
129605583,1212770520,2630.4971084531153,trunk,Horana Road,False,A8
129605583,256663997,399.2120778133854,trunk,Horana Road,False,A8
129606431,13149927793,27.96148171658494,primary,Horana - Padukka Road,False,B123
129606431,129605583,7471.85575599872,primary,Horana - Padukka Road,False,B123
129606431,1430577735,34.42619979121272,primary,Kottawa Thalagala Road,True,B239
129607365,5366204208,40.6839968295766,primary,Galagedara - Padukka Road,False,B123
129607365,8626564846,9.810156007856122,primary,,True,
129607626,1697583653,86.62462968726685,primary,Galagedara - Padukka Road,False,B123
129607626,1723172770,464.7714684876607,trunk,High Level Road,False,A4
129607626,1697583102,61.51756094245445,trunk,High Level Road,False,A4
129610044,1150403426,872.3994120500791,primary,Hanwella Junction Road,False,B145
129610044,1150403364,1145.286693329016,trunk,High Level Road,False,A4
129610044,1697437102,5120.462948047061,trunk,High Level Road,False,A4
129615686,252542077,3875.326486650508,primary,Homagama Diyagama Road,False,B452
129615686,324918527,3208.4723944743,primary,"['Station Road', 'Homagama Athurugiriya road']",False,B452
129615686,2068162856,2043.7095440486082,trunk,High Level Road,False,A4
129615686,1430578050,1612.913534332732,trunk,High Level Road,False,A4
129615826,635164975,1975.0103667312417,trunk,High Level Road,True,A4
129615826,642867474,70.0928172002756,trunk,High Level Road,False,A4
129615869,255179552,2060.3333895063884,primary,Old Kottawa Road,False,B291
129615869,619918508,616.1506795231898,trunk,High Level Road,False,A4
129615869,619956323,1443.4758677644256,trunk,High Level Road,False,A4
129615924,1348104699,448.1800605394682,primary,Old Kesbawa Road,False,B134
129615924,250734844,1721.1619040398934,primary,Old Kesbawa Road,False,B134
129615924,9959089698,565.3707484888826,trunk,High Level Road,False,A4
