source,target,distance_m,hops
98554769,6524681177,146880.73408761318,124
98554769,5217538839,459782.6976284498,173
98554769,7042347620,467242.86390778323,177
98554769,13743364556,302294.18712489697,64
98554769,1684534515,260160.42184093178,67
98554769,11715824040,260165.1535352386,67
98554769,1809805397,173788.78399269193,48
98554769,1728838958,387313.25371455826,167
98554769,7085505934,387292.68263027206,166
98554769,1732642149,403472.7358185705,224
98554769,1886079221,350060.30703745305,149
98554769,1735981103,467223.27395935456,176
98554769,7042347632,467215.6090019172,175
98554769,1740742111,373821.9423207336,130
98554769,1750869639,109400.91755874777,15
98554769,1783974992,236081.91419837734,59
98554769,10016226413,236073.17252775593,58
98554769,1945675344,173810.1685895002,49
98554769,1797964180,156115.14016040962,44
98554769,4959610635,262118.31334101906,62
98554769,1985676681,69371.9055948787,37
98554769,13749558430,350044.72497700935,149
98554769,4212767857,302284.5595269969,64
98554769,3527283166,183888.4717751272,46
98554769,1981147403,287158.50293160824,115
98554769,2011981296,185843.58723364337,51
98554769,5372968715,149371.55972699643,133
98554769,3794035028,203769.39740675027,75
98554769,3849049820,167368.2966954149,166
98554769,2339297860,122306.09506364184,65
98554769,2339297862,122293.555565155,64
98554769,6289622879,285832.177100372,114
98554769,3088508709,244564.75936028355,120
98554769,3088508720,244567.98561941352,120
98554769,3136385191,149400.97402868207,133
98554769,3237363036,387046.448205767,163
98554769,3237363045,387051.693044778,165
98554769,4137095171,387032.1997921556,164
98554769,3474422106,496224.5498831956,235
98554769,4136824662,496226.1678335665,234
98554769,4137349478,328932.3720878007,117
98554769,6537569535,387732.8903612916,131
98554769,4963408994,175804.81086648998,184
98554769,9513937138,229697.51613048304,92
98554769,4944055508,229682.01288832634,91
98554769,4944055634,229689.3174351678,92
98554769,4963408992,175815.17657549697,185
98554769,6524681176,146892.43200010006,124
98554769,9628046175,146926.1235359991,125
98554769,7042347623,467199.2487165897,174
98554769,8014319682,316084.751532925,130
98554769,8032417737,344321.3541273679,142
98554769,8032417743,344333.68275444576,143
98554769,8032417746,344335.84060015663,143
98554769,8032417740,344322.5664521415,142
98554769,9568699375,229689.84271545906,91
98554769,11715824035,260168.54581057056,68
5693657962,258029156,6307.497132841753,21
5693657962,44265234,157469.2833206452,72
5693657962,603240642,157404.82680999243,71
5693657962,49364356,127128.64446767644,67
5693657962,59947552,225460.36948521333,129
5693657962,3390634865,73764.1904879291,47
5693657962,98554769,241682.51381625832,126
5693657962,310860950,123035.60596310535,92
5693657962,8014319683,101916.41093827596,51
5693657962,603240427,124688.21264882106,57
5693657962,617967952,56310.88872667727,62
5693657962,7087535778,56290.99179897958,61
5693657962,617968149,39177.551045302745,56
5693657962,634172980,221965.86692365006,87
5693657962,665214512,116476.31479690068,160
5693657962,665214513,116404.14774845667,159
5693657962,4136824664,309135.77385173296,102
5693657962,7599684152,72982.07235146935,35
5693657962,6537569534,173535.11378590914,50
5693657962,4136824665,309164.11290324375,103
5693657962,3174892783,49846.730884003206,65
5693657962,1239489717,49853.9652827822,65
5693657962,1242694031,175907.02900408726,53
5693657962,4139418521,175872.2892754955,52
5693657962,2155580115,103488.97566426433,99
5693657962,6524681177,115856.1988597964,156
5693657962,5217538839,249262.58553275318,90
5693657962,7042347620,256722.75181208656,94
5693657962,13743364556,169648.32437455773,38
5693657962,1684534515,188712.5942908509,55
5693657962,11715824040,188706.70292767254,54
5693657962,1809805397,153773.46914145414,46
5693657962,1728838958,176793.14161886164,84
5693657962,7085505934,176772.57053457544,83
5693657962,1732642149,194457.2409991878,75
